Frame Number;Main Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;terrainMeshingSys;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
209;909576;909456;875614208;12206080;770529951;17;0;0;0;0;0;0;0;0;0;0;0;417;0.000910918;
210;893425;893315;875614208;12206080;770529951;17;0;0;0;0;0;0;0;0;0;0;0;417;0.000894658;
211;899888;899777;875614208;12206080;770529951;17;0;0;0;0;0;0;0;0;0;0;0;417;0.00090142;
212;912311;912201;875614208;12206080;770529951;17;0;0;0;0;0;0;0;0;0;0;0;417;0.000913423;
213;893876;893776;875614208;12206080;770529951;17;0;0;0;0;0;0;0;0;0;0;0;417;0.000895049;
214;906550;906440;875614208;12206080;770529951;17;0;0;0;0;0;0;0;0;0;0;0;417;0.000907943;
215;898445;898335;875614208;12206080;770529951;17;0;0;0;0;0;0;0;0;0;0;0;417;0.000899516;
216;897042;896932;875614208;12206080;770529951;17;0;0;0;0;0;0;0;0;0;0;0;417;0.000898305;
217;908013;907913;875614208;12206080;770529951;17;0;0;0;0;0;0;0;0;0;0;0;417;0.000909145;
218;3358038;3357927;877711360;12206080;770529951;18;49390;0;0;0;0;0;0;0;448732;0;0;447;0.00335937;
219;999284;999184;877842432;12206080;770529951;18;49390;0;0;0;0;0;0;0;0;0;0;447;0.001000887;
220;1096577;1096466;877842432;12206080;770529951;18;49390;0;0;0;0;0;0;0;0;0;0;447;0.001097939;
221;956574;956444;877842432;12206080;770529951;18;49390;0;0;0;0;0;0;0;0;0;0;447;0.000958126;
222;930976;930855;877842432;12206080;770529951;18;49390;0;0;0;0;0;0;0;0;0;0;447;0.000932549;
223;928311;928200;877842432;12206080;770529951;18;49390;0;0;0;0;0;0;0;0;0;0;447;0.000929483;
224;928531;928411;877842432;12206080;770529951;18;49390;0;0;0;0;0;0;0;0;0;0;447;0.000929644;
225;922339;922229;877842432;12206080;770529951;18;49390;0;0;0;0;0;0;0;0;0;0;447;0.000923882;
226;1474535;1474415;878366720;12206080;770530079;18;49390;0;0;0;0;0;0;0;0;202861;0;447;0.001475748;
227;1016807;1016677;878366720;12206080;770530079;18;49390;0;0;0;0;0;0;0;0;0;0;447;0.001018319;
228;985157;985027;878366720;12206080;770530079;18;49390;0;0;0;0;0;0;0;0;0;0;447;0.0009868609;
229;988463;988333;878366720;12206080;770530079;18;49390;0;0;0;0;0;0;0;0;0;0;447;0.000990157;
230;1150859;1150728;878366720;12206080;770530079;18;49390;0;0;0;0;0;0;0;0;0;0;447;0.001152501;
231;1073023;1072902;878366720;12206080;770530079;18;49390;0;0;0;0;0;0;0;0;0;0;447;0.001074485;
232;4583606;4583466;883216384;12206080;778939167;19;54179;0;0;0;0;0;0;0;520747;0;0;477;0.004585379;
233;1178640;1178500;883347456;12206080;778939167;19;54179;0;0;0;0;0;0;0;0;0;0;477;0.001181095;
234;1200982;1200862;879493120;12206080;770530079;19;54179;0;0;0;0;0;0;0;0;0;0;477;0.001202886;
235;950783;950653;879493120;12206080;770530079;19;54179;0;0;0;0;0;0;0;0;0;0;477;0.000952266;
236;906610;906500;879493120;12206080;770530079;19;54179;0;0;0;0;0;0;0;0;0;0;477;0.000908012;
237;986851;986731;879493120;12206080;770530079;19;54179;0;0;0;0;0;0;0;0;0;0;477;0.000988314;
238;921749;921639;879493120;12206080;770530079;19;54179;0;0;0;0;0;0;0;0;0;0;477;0.000923011;
239;1383254;1383144;879755264;12206080;770559655;19;54179;0;0;0;0;0;0;0;0;190286;0;477;0.001384336;
240;978084;977984;879886336;12206080;770564519;19;54179;0;0;0;0;0;0;0;0;0;0;477;0.000979607;
241;976922;976811;880017408;12206080;770564519;19;54179;0;0;0;0;0;0;0;0;0;0;477;0.000978324;
