
07-09 11:46:47.368  6141  6168 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-09 11:46:48.640  6141  6168 I Unity   : [STATISTIC]367;5900937;0;5900573;743550976;16105472;1327543883;0;0;0;0;0;0;0;0;0;0;0;0;0;56198;936822;0;27;0.005933073;
07-09 11:46:48.654  6141  6168 I Unity   : [STATISTIC]368;9420885;0;9420312;745283584;16105472;1327543883;571354;708958;113281;0;0;60208;3015574;0;0;0;0;0;0;1144114;378906;0;27;0.009425781;
07-09 11:46:48.668  6141  6168 I Unity   : [STATISTIC]369;10962813;0;10961927;745562112;16105472;1327543883;0;0;0;0;0;0;0;0;0;0;0;0;0;5731459;487500;0;27;0.01097443;
07-09 11:46:48.836  6141  6168 I Unity   : [STATISTIC]370;173304271;0;173303594;770310144;16105472;1338062507;599062;551302;121823;0;4063;67291;3011978;0;0;0;0;0;0;8135625;3939792;0;27;0.1733115;
07-09 11:46:48.859  6141  6168 I Unity   : [STATISTIC]371;25792760;0;25792187;781979648;16105472;1356981995;2680625;4367448;587188;0;327814;220366;12604429;0;0;0;5937;0;0;57031;1981510;0;27;0.02560042;
07-09 11:46:48.880  6141  6168 I Unity   : [STATISTIC]372;21099636;0;21099115;789508096;16105472;1392645931;1145261;1219948;301667;480209;150262;157031;5886510;0;0;0;11197;0;0;67865;2250052;0;27;0.02132167;
07-09 11:46:48.891  6141  6168 I Unity   : [STATISTIC]373;11817292;0;11816875;794959872;16105472;1396844363;593334;555625;125209;0;50572;123333;3243126;0;0;0;32603;0;0;45364;1257552;0;27;0.01183208;
07-09 11:46:48.902  6141  6168 I Unity   : [STATISTIC]374;10663385;0;10663021;799432704;16105472;1401038667;583437;510052;131614;0;27448;130208;2918437;0;0;0;31251;0;0;77344;1133125;0;27;0.01067333;
07-09 11:46:48.913  6141  6168 I Unity   : [STATISTIC]375;6538594;0;6538177;799907840;16105472;1401038667;0;0;0;0;55468;0;0;0;0;0;37395;0;0;40729;1437604;0;27;0.006552343;
07-09 11:46:48.931  6141  6168 I Unity   : [STATISTIC]376;13588282;0;13587760;800448512;16105472;1401038667;548750;654271;131406;0;27761;220938;3118905;0;0;0;25469;0;0;4618073;768489;0;27;0.01359271;
07-09 11:46:48.944  6141  6168 I Unity   : [STATISTIC]377;18930625;0;18930052;802201600;16105472;1417815883;534792;941041;147656;0;27292;132396;3424948;0;0;0;18698;0;0;9121146;999166;0;27;0.01894115;
07-09 11:46:48.964  6141  6168 I Unity   : [STATISTIC]378;22665834;0;22665417;805171200;16105472;1434617771;535729;489375;115469;111614;74321;132187;2820781;0;0;0;31459;0;0;2617761;2224167;0;27;0.02267641;
07-09 11:46:48.976  6141  6168 I Unity   : [STATISTIC]379;11754011;0;11753593;808382464;16105472;1434663351;551146;476875;151823;274792;66458;249531;3522084;0;0;0;49270;0;0;46302;2362656;0;27;0.01176646;
07-09 11:46:48.987  6141  6168 I Unity   : [STATISTIC]380;11385208;0;11384740;811507712;16105472;1434710795;549114;467708;166302;234428;59062;180885;3097864;0;0;0;56459;0;0;46302;2293750;0;27;0.01139375;
07-09 11:46:48.999  6141  6168 I Unity   : [STATISTIC]381;12132552;0;12132031;815357952;16105472;1434735595;655573;725833;148490;103125;34584;227760;3639114;0;0;0;64948;0;0;44322;2524115;0;27;0.01217406;
07-09 11:46:49.009  6141  6168 I Unity   : [STATISTIC]382;6745469;0;6745000;815558656;16105472;1434739819;0;0;0;0;68126;0;0;0;0;0;53696;0;0;64792;1404427;0;27;0.006757343;
07-09 11:46:49.027  6141  6168 I Unity   : [STATISTIC]383;13813542;0;13813021;819687424;16105472;1434808259;661719;837031;168020;188750;43542;162656;3527395;0;0;0;127918;0;0;2742395;1877760;0;27;0.01381927;
07-09 11:46:49.038  6141  6168 I Unity   : [STATISTIC]384;18291510;0;18290990;821903360;16105472;1434841347;635469;461458;135156;148021;31823;187760;3275781;0;0;0;69220;0;0;7140312;1835677;0;27;0.01830172;
07-09 11:46:49.050  6141  6168 I Unity   : [STATISTIC]385;12064635;0;12064219;824705024;16105472;1451627075;669948;512344;158907;177656;61041;377969;3757552;0;0;0;96354;0;0;52760;2356406;0;27;0.01207698;
07-09 11:46:49.063  6141  6168 I Unity   : [STATISTIC]386;8603021;0;8602552;824705024;16105472;1451627075;0;0;0;0;67448;0;0;0;0;0;124324;0;0;44531;1394167;0;27;0.008617344;
07-09 11:46:49.080  6141  6168 I Unity   : [STATISTIC]387;15315990;0;15315364;827580416;16105472;1451635267;865104;448125;203229;130000;51666;226771;3637657;0;0;0;84480;0;0;3961823;1920730;0;27;0.01532151;
07-09 11:46:49.093  6141  6168 I Unity   : [STATISTIC]388;18846771;0;18846250;830840832;16105472;1451697339;847135;483021;210729;227552;43646;214062;3879115;0;0;0;109115;0;0;6060782;2567291;0;27;0.01885292;
07-09 11:46:49.106  6141  6168 I Unity   : [STATISTIC]389;13224219;0;13223698;834469888;16105472;1468478875;704271;818594;150261;175677;65104;329948;4323177;0;0;0;109895;0;0;47657;2512916;0;27;0.01323823;
07-09 11:46:49.119  6141  6168 I Unity   : [STATISTIC]390;12712760;0;12712292;837398528;16105472;1485268539;752448;630730;211198;276302;79583;235000;3818854;0;0;0;120833;0;0;52240;2650417;0;27;0.01272266;
07-09 11:46:49.130  6141  6168 I Unity   : [STATISTIC]391;10473646;0;10473073;839585792;16105472;1485353015;0;0;0;345156;64688;0;0;0;0;0;192137;0;0;45469;2733802;0;27;0.01048812;
07-09 11:46:49.146  6141  6168 I Unity   : [STATISTIC]392;13100313;0;13099843;841248768;16105472;1485357367;781094;441250;156406;0;32604;331458;3940832;0;0;0;121040;0;0;356302;981459;0;27;0.0131101;
07-09 11:46:49.159  6141  6168 I Unity   : [STATISTIC]393;16851355;0;16850885;844464128;16105472;1485387527;840573;415104;138698;270677;157760;266510;3586979;0;0;0;138750;0;0;3807135;2944479;0;27;0.01685948;
07-09 11:46:49.173  6141  6168 I Unity   : [STATISTIC]394;13421980;0;13421666;843546624;16105472;1485425167;670938;695572;295000;196979;61614;259844;4113646;0;0;0;116096;0;0;44584;2674271;0;27;0.01343677;
07-09 11:46:49.186  6141  6168 I Unity   : [STATISTIC]395;12512240;0;12511771;846868480;16105472;1502219375;1122709;422031;248593;127291;59999;306666;4274791;0;0;0;164999;0;39114;42239;2095521;0;27;0.0125251;
07-09 11:46:49.200  6141  6168 I Unity   : [STATISTIC]396;12679688;0;12679271;849379328;16105472;1502240239;0;0;0;433542;46719;0;0;0;0;0;105781;0;0;353698;2366302;0;27;0.01269182;
07-09 11:46:49.214  6141  6168 I Unity   : [STATISTIC]397;14828594;0;14828021;852500480;16105472;1502290095;759323;400104;188281;254635;72500;316666;3876406;0;0;0;307344;0;0;2404740;2545208;0;27;0.0148349;
07-09 11:46:49.228  6141  6168 I Unity   : [STATISTIC]398;13397240;0;13396719;855638016;16105472;1519076239;627292;441615;208958;257656;73594;344115;3807657;0;0;0;155313;0;0;1540989;2197240;0;27;0.01340807;
07-09 11:46:49.242  6141  6168 I Unity   : [STATISTIC]399;13291562;0;13291146;856608768;16105472;1519076239;671146;386927;145469;0;46979;295104;3500262;0;0;0;138281;0;0;1700052;1328542;0;27;0.01330182;
07-09 11:46:49.257  6141  6168 I Unity   : [STATISTIC]400;14657031;0;14656510;858607616;16105472;1519076239;729063;364271;169844;0;37656;362292;4477813;0;0;0;79322;0;0;2890261;954531;0;27;0.0146663;
07-09 11:46:49.271  6141  6168 I Unity   : [STATISTIC]401;13063281;0;13062865;860131328;16105472;1519076239;725365;627552;156198;0;70156;338438;3966197;0;0;0;72760;0;0;2534740;837395;0;27;0.01307417;
07-09 11:46:49.286  6141  6168 I Unity   : [STATISTIC]402;14214844;0;14214427;860131328;16105472;1519076239;0;0;0;0;61614;0;0;0;0;0;58698;0;0;3368698;956302;0;27;0.01422797;
07-09 11:46:49.299  6141  6168 I Unity   : [STATISTIC]403;17111042;0;17110573;863690752;16105472;1519088975;1028177;698541;175156;122812;149479;412188;4902136;0;0;0;88175;0;0;3945625;2248855;0;27;0.01712057;
07-09 11:46:49.310  6141  6168 I Unity   : [STATISTIC]404;10803750;0;10803334;865001472;16105472;1519093519;645261;749791;170052;0;36615;407447;4304583;0;0;0;75314;0;0;618802;764010;0;27;0.01081489;
07-09 11:46:49.329  6141  6168 I Unity   : [STATISTIC]405;13354375;0;13353958;865841152;16105472;1519093519;609948;348750;138854;0;31094;428229;3611823;0;0;0;61201;0;0;1124583;728229;0;27;0.01336339;
07-09 11:46:49.342  6141  6168 I Unity   : [STATISTIC]406;16781459;0;16781041;866934784;16105472;1519093519;765260;398490;156927;0;102760;371875;3971041;0;0;0;157551;0;0;5844792;1140625;0;27;0.01679255;
07-09 11:46:49.358  6141  6168 I Unity   : [STATISTIC]407;12866562;0;12866094;867762176;16105472;1519093519;616250;326250;141250;0;82135;390573;3526040;0;0;0;54011;0;0;2630990;1550938;0;27;0.01287755;
07-09 11:46:49.373  6141  6168 I Unity   : [STATISTIC]408;13181979;0;13181563;867934208;16105472;1519093519;0;0;0;0;42448;0;0;0;0;0;49376;0;0;5151614;1649948;0;27;0.01318276;
07-09 11:46:49.389  6141  6168 I Unity   : [STATISTIC]409;16825104;0;16824688;869015552;16105472;1519085199;640729;320990;148906;0;28959;305781;3747345;0;0;0;47084;0;0;6865000;693854;0;27;0.01685911;
07-09 11:46:49.401  6141  6168 I Unity   : [STATISTIC]410;16679792;0;16679323;869634048;16105472;1519085199;646458;333698;160364;0;63282;322343;3642864;0;0;0;52656;0;0;6242448;1130573;0;27;0.01668974;
07-09 11:46:49.415  6141  6168 I Unity   : [STATISTIC]411;14300052;0;14299219;870486016;16105472;1552647823;551146;599010;158490;105052;75363;370990;4296353;0;0;0;58128;0;0;1898958;2097968;0;27;0.01430917;
07-09 11:46:49.428  6141  6168 I Unity   : [STATISTIC]412;14377656;0;14377292;873467904;16105472;1552664207;560937;297865;183489;97344;59479;436980;3981250;0;0;0;55936;0;0;1776771;2378073;0;27;0.01444469;
07-09 11:46:49.442  6141  6168 I Unity   : [STATISTIC]413;11989635;0;11989115;876322816;16105472;1552664207;701250;336458;152187;123907;122761;409479;4011250;0;0;0;66511;0;0;45885;2107240;0;27;0.01199984;
07-09 11:46:49.456  6141  6168 I Unity   : [STATISTIC]414;14326198;0;14325625;879788032;16105472;1552676403;644948;323437;162500;193594;39323;394948;3926041;0;0;0;73855;0;0;2086354;2327135;0;27;0.01433599;
07-09 11:46:49.470  6141  6168 I Unity   : [STATISTIC]415;12575885;0;12575364;880611328;16105472;1552680979;685885;274427;156719;0;61198;522552;3943541;0;0;0;67033;0;0;1808802;1198958;0;27;0.01258698;
