
07-15 17:09:58.798  7945  7975 I Unity   : [STATISTIC]Frame Number;Main Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;GameServer Unity.Entities.SimulationSystemGroup;UnityEngine.CoreModule.dll!::UpdateFunction.Invoke() [Invoke];PostLateUpdate.FinishFrameRendering;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-15 17:10:00.437  7945  7975 I Unity   : [STATISTIC]373;11316094;11315469;828317696;15982592;1436322263;0;0;0;0;34584;0;427240;0;0;0;132761;0;0;3448073;1314791;0;0;2005938;28;27;0.01132656;
07-15 17:10:00.452  7945  7975 I Unity   : [STATISTIC]374;17100625;17100104;830697472;15982592;1436351127;0;0;0;398750;92395;0;369792;0;0;0;365682;0;0;7018698;3189010;0;0;1971094;29;27;0.01710995;
07-15 17:10:00.466  7945  7975 I Unity   : [STATISTIC]375;14230364;14229896;832946176;15982592;1436355799;0;0;0;134583;65208;0;352240;0;0;0;105938;0;0;4806667;2800885;0;0;1851041;30;27;0.01424104;
07-15 17:10:00.478  7945  7975 I Unity   : [STATISTIC]376;14188750;14188333;835145728;15982592;1436355799;0;0;0;201042;63489;0;372448;0;0;0;96983;0;0;4517708;3000938;0;0;1803125;31;27;0.01420073;
07-15 17:10:00.492  7945  7975 I Unity   : [STATISTIC]377;9398333;9397917;835301376;15982592;1436355799;0;0;0;0;55209;0;376563;0;0;0;97605;0;0;2180208;805469;0;0;1951458;31;27;0.009407604;
07-15 17:10:00.506  7945  7975 I Unity   : [STATISTIC]378;15441511;15441042;837648384;15982592;1453169459;0;0;0;272969;40000;0;0;0;0;0;107813;0;0;6464063;2361615;0;0;1992292;32;27;0.01545047;
07-15 17:10:00.520  7945  7975 I Unity   : [STATISTIC]379;14576615;14576302;839868416;15982592;1453173747;0;0;0;221198;71823;0;414375;0;0;0;112553;0;0;4872708;2607552;0;0;2114011;33;27;0.0145874;
07-15 17:10:00.533  7945  7975 I Unity   : [STATISTIC]380;14667865;14667448;841994240;15982592;1453178483;0;0;0;171093;62865;0;378594;0;0;0;110102;0;0;5046511;1955469;0;0;2288438;34;27;0.01467797;
07-15 17:10:00.547  7945  7975 I Unity   : [STATISTIC]381;13554271;13553750;844357632;15982592;1453201919;0;0;0;198750;69636;0;409843;0;0;0;137967;0;0;3478646;2868907;0;0;2140260;35;27;0.01356568;
07-15 17:10:00.561  7945  7975 I Unity   : [STATISTIC]382;11423854;11423490;844431360;15982592;1453201919;0;0;0;0;55937;0;376407;0;0;0;125730;0;0;3556041;1250833;0;0;2082916;35;27;0.01143464;
